device_type,mib_module,object_name,oid,kind,data_type,textual_convention,unit,unit_source,access,configurable,table_index,nsp_attribute_name,description
dsl-modem,ACTELIS-ALARM-MIB,alarmNotificationEnable,1.3.6.1.4.1.5468.5.1,scalar,boolean-enum,,,,read-write,yes,no,alarmNotificationEnable,"Alarm Notifications can be sent or not, controlled manually, per whole NE system"
dsl-modem,ACTELIS-ALARM-MIB,alarmTableRowCount,1.3.6.1.4.1.5468.5.2,scalar,unsigned32,,,,read-only,no,no,alarmTableRowCount,"Counter of all fault conditions (Alarmed and Non-Alarmed) currently raised on NE, represents a number of rows in alarm table"
dsl-modem,ACTELIS-ALARM-MIB,alarmTableLastEvent,1.3.6.1.4.1.5468.5.3,scalar,textual-convention,DateAndTime,,,read-only,no,no,alarmTableLastEvent,Timestamp of Latest TL1 alarm raised on NE
dsl-modem,ACTELIS-ALARM-MIB,alarmIndex,1.3.6.1.4.1.5468.5.4.1.1,column,unsigned32,,,,not-accessible,no,yes,alarmIndex,Index of Alarm. Used for Table running. Not accessible leaf (do not return any value on get).
dsl-modem,ACTELIS-ALARM-MIB,alarmTID,1.3.6.1.4.1.5468.5.4.1.2,column,string,DisplayString,,,read-only,no,no,alarmTID,System Identification (Terminal ID) of NE which is reporting Failure Condition
dsl-modem,ACTELIS-ALARM-MIB,alarmName,1.3.6.1.4.1.5468.5.4.1.3,column,string,DisplayString,,,read-only,no,no,alarmName,"Failure Condition Name, i.e. LOSW, HSLDWN or INTRUDER"
dsl-modem,ACTELIS-ALARM-MIB,alarmedAID,1.3.6.1.4.1.5468.5.4.1.4,column,string,DisplayString,,,read-only,no,no,alarmedAID,"Automatic Identification of TL1 Managed Object with Failure Condition on it, i.e. MLP-3-7, HSL-122 or ETH-5. Together with Name of alarm , AlarmAID pr"
dsl-modem,ACTELIS-ALARM-MIB,alarmedOID,1.3.6.1.4.1.5468.5.4.1.5,column,string,DisplayString,,,read-only,no,no,alarmedOID,"Using hardcoded map, all TL1 AID are converted to SNMP Index used for them. System and Equipment entity are reported using iso(1).org(3).dod(6).intern"
dsl-modem,ACTELIS-ALARM-MIB,alarmDateTime,1.3.6.1.4.1.5468.5.4.1.6,column,textual-convention,DateAndTime,,,read-only,no,no,alarmDateTime,Raise Alarm Date and Time on NE
dsl-modem,ACTELIS-ALARM-MIB,alarmServiceAffect,1.3.6.1.4.1.5468.5.4.1.7,column,string,DisplayString,,,read-only,no,no,alarmServiceAffect,"Instead of enum coding, use text as reported in TL1 SA for service affecting, NSA for non-service affecting."
dsl-modem,ACTELIS-ALARM-MIB,alarmSeverity,1.3.6.1.4.1.5468.5.4.1.8,column,string,DisplayString,,,read-only,no,no,alarmSeverity,"Instead of enum coding, use text as reported in TL1 CR for critical, MJ for major, MN for minor, NA for non-alarmed"
dsl-modem,ACTELIS-ALARM-MIB,alarmDescription,1.3.6.1.4.1.5468.5.4.1.9,column,string,DisplayString,,,read-only,no,no,alarmDescription,"Text description of Alarm possible reason, as appears in TL1 alarm"
dsl-modem,ML620R-MIB,channel,1.3.6.1.4.1.5468.510.1.1.1.1,column,integer,,,,read-only,no,no,channel,Description.
dsl-modem,ML620R-MIB,dslService,1.3.6.1.4.1.5468.510.1.1.1.2,column,enum,,,,read-only,no,no,dslService,Description.
dsl-modem,ML620R-MIB,dslStandard,1.3.6.1.4.1.5468.510.1.1.1.3,column,enum,,,,read-only,no,no,dslStandard,Description.
dsl-modem,ML620R-MIB,dslAttenuation,1.3.6.1.4.1.5468.510.1.1.1.4,column,integer,,,,read-only,no,no,dslAttenuation,This is valid only when the dslStatus value is 'Data'.
dsl-modem,ML620R-MIB,dslSNR,1.3.6.1.4.1.5468.510.1.1.1.5,column,integer,,,,read-only,no,no,dslSNR,This is valid only when the dslStatus value is 'Data'.
dsl-modem,ML620R-MIB,dslStatus,1.3.6.1.4.1.5468.510.1.1.1.6,column,enum,,,,read-only,no,no,dslStatus,Description.
dsl-modem,ML620R-MIB,dslRate,1.3.6.1.4.1.5468.510.1.1.1.7,column,integer,,,,read-only,no,no,dslRate,Rate : xx kpbs. This is valid only when the dslStatus value is 'Data'.
dsl-modem,ML620R-MIB,macTableIndex,1.3.6.1.4.1.5468.510.1.2.1.1,column,integer,,,,read-only,no,no,macTableIndex,Description.
dsl-modem,ML620R-MIB,macType,1.3.6.1.4.1.5468.510.1.2.1.2,column,string,,,,read-only,no,no,macType,Description.
dsl-modem,ML620R-MIB,blongToVlan,1.3.6.1.4.1.5468.510.1.2.1.3,column,integer,,,,read-only,no,no,blongToVlan,Description.
dsl-modem,ML620R-MIB,macAddress,1.3.6.1.4.1.5468.510.1.2.1.4,column,string,,,,read-only,no,no,macAddress,Description.
dsl-modem,ML620R-MIB,portMembers,1.3.6.1.4.1.5468.510.1.2.1.5,column,enum,,,,read-only,no,no,portMembers,Description.
dsl-modem,ML620R-MIB,clearMacTable,1.3.6.1.4.1.5468.510.1.3,scalar,enum,,,,read-write,yes,no,clearMacTable,Description.
dsl-modem,ML620R-MIB,wanDesciiption,1.3.6.1.4.1.5468.510.1.5.1.1.1,column,string,,,,read-only,no,no,wanDesciiption,Description.
