device_type,mib_module,object_name,oid,kind,data_type,textual_convention,unit,unit_source,access,configurable,table_index,nsp_attribute_name,description
switch,ML540M-SYSTEM-MIB,productModel,1.3.6.1.4.1.5468.100.1.1.1,scalar,string,,,,read-only,no,no,productModel,Product Model name.
switch,ML540M-SYSTEM-MIB,swVersion,1.3.6.1.4.1.5468.100.1.1.2,scalar,string,,,,read-only,no,no,swVersion,System SW version
switch,ML540M-SYSTEM-MIB,swBuildNo,1.3.6.1.4.1.5468.100.1.1.3,scalar,string,,,,read-only,no,no,swBuildNo,System SW version built date
switch,ML540M-SYSTEM-MIB,sysMAC,1.3.6.1.4.1.5468.100.1.1.4,scalar,mac-address,PhysAddress,,,read-only,no,no,sysMAC,
switch,ML540M-SYSTEM-MIB,portCount,1.3.6.1.4.1.5468.100.1.1.5,scalar,integer,,,,read-only,no,no,portCount,
switch,ML540M-SYSTEM-MIB,eventSeqId,1.3.6.1.4.1.5468.100.1.2.1.1.1.1,column,integer,,,,not-accessible,no,yes,eventSeqId,This object is used by the event table to identify the row of this table.
switch,ML540M-SYSTEM-MIB,eventLevel,1.3.6.1.4.1.5468.100.1.2.1.1.1.2,column,textual-convention,VTSSEventLevel,,,read-only,no,no,eventLevel,This object indicates the level of event.
switch,ML540M-SYSTEM-MIB,eventTime,1.3.6.1.4.1.5468.100.1.2.1.1.1.3,column,string,,,,read-only,no,no,eventTime,This attribute indicates the event occurence time.
switch,ML540M-SYSTEM-MIB,eventMessage,1.3.6.1.4.1.5468.100.1.2.1.1.1.4,column,string,,,,read-only,no,no,eventMessage,This attribute indicates the event message.
switch,ML540M-SYSTEM-MIB,currentAlarmRowId,1.3.6.1.4.1.5468.100.1.2.2.1.1.1,column,unsigned32,,,,read-only,no,no,currentAlarmRowId,This object indicates the row index in table.
switch,ML540M-SYSTEM-MIB,currentAlarmSeqId,1.3.6.1.4.1.5468.100.1.2.2.1.1.2,column,unsigned32,,,,read-only,no,no,currentAlarmSeqId,"This object indicates the sequence index in table, when new alarm generated, index increases."
switch,ML540M-SYSTEM-MIB,currentAlarmTypeId,1.3.6.1.4.1.5468.100.1.2.2.1.1.3,column,textual-convention,VTSSAlarmType,,,read-only,no,no,currentAlarmTypeId,This attribute indicates the number of alarm type.
switch,ML540M-SYSTEM-MIB,currentAlarmLevel,1.3.6.1.4.1.5468.100.1.2.2.1.1.4,column,textual-convention,VTSSAlarmLevel,,,read-only,no,no,currentAlarmLevel,This attribute indicates the alarm level.
switch,ML540M-SYSTEM-MIB,currentAlarmState,1.3.6.1.4.1.5468.100.1.2.2.1.1.5,column,textual-convention,VTSSAlarmState,,,read-only,no,no,currentAlarmState,This attribute indicates the alarm state.
switch,ML540M-SYSTEM-MIB,currentAlarmTime,1.3.6.1.4.1.5468.100.1.2.2.1.1.6,column,string,,,,read-only,no,no,currentAlarmTime,This attribute indicates the alarm occurence time.
switch,ML540M-SYSTEM-MIB,historyAlarmRowId,1.3.6.1.4.1.5468.100.1.2.2.2.1.1,column,unsigned32,,,,read-only,no,no,historyAlarmRowId,This object indicates the row index in table.
switch,ML540M-SYSTEM-MIB,historyAlarmSeqId,1.3.6.1.4.1.5468.100.1.2.2.2.1.2,column,unsigned32,,,,read-only,no,no,historyAlarmSeqId,"This object indicates the sequence index in table, when new alarm generated/cleard, index increases."
switch,ML540M-SYSTEM-MIB,historyAlarmTypeId,1.3.6.1.4.1.5468.100.1.2.2.2.1.3,column,textual-convention,VTSSAlarmType,,,read-only,no,no,historyAlarmTypeId,This attribute indicates the number of alarm type.
switch,ML540M-SYSTEM-MIB,historyAlarmLevel,1.3.6.1.4.1.5468.100.1.2.2.2.1.4,column,textual-convention,VTSSAlarmLevel,,,read-only,no,no,historyAlarmLevel,This attribute indicates the alarm level.
switch,ML540M-SYSTEM-MIB,historyAlarmState,1.3.6.1.4.1.5468.100.1.2.2.2.1.5,column,textual-convention,VTSSAlarmState,,,read-only,no,no,historyAlarmState,This attribute indicates the alarm state.
switch,ML540M-SYSTEM-MIB,historyAlarmTime,1.3.6.1.4.1.5468.100.1.2.2.2.1.6,column,string,,,,read-only,no,no,historyAlarmTime,This attribute indicates the alarm occurence time.
switch,ML540M-SYSTEM-MIB,alarmHistoryClear,1.3.6.1.4.1.5468.100.1.2.2.3,scalar,boolean-enum,,,,read-write,yes,no,alarmHistoryClear,Set this object clear(1) to clear system history alarm table.
switch,ML540M-SYSTEM-MIB,alarmProfileId,1.3.6.1.4.1.5468.100.1.2.2.4.1.1,column,textual-convention,VTSSAlarmType,,,not-accessible,no,yes,alarmProfileId,Alarm Profile: 1: alarmGEPort1LinkDown 2: alarmGEPort2LinkDown 3: alarmGEPort3LinkDown 4: alarmGEPort4LinkDown 5: alarmGEPort5LinkDown 6: alarmGEPort6
switch,ML540M-SYSTEM-MIB,alarmProfileAlarmId,1.3.6.1.4.1.5468.100.1.2.2.4.1.2,column,string,,,,read-only,no,no,alarmProfileAlarmId,This attribute indicates the alarm ID.
