device_type,source_mib_object,source_mib,bin_window,raw_unit,nsp_metric_name,nsp_unit,aggregation,polling_note
dsl-modem,hdsl2ShdslEndpointCurr15MinES,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 15-min,count,dslLine.es,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr15MinSES,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 15-min,count,dslLine.ses,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr15MinCRCanomalies,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 15-min,count,dslLine.crcanomalies,count,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr15MinLOSWS,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 15-min,count,dslLine.losws,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr15MinUAS,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 15-min,count,dslLine.uas,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl15MinIntervalES,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 15-min (96 bins, ~24h rolling)",count,dslLine.es,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl15MinIntervalSES,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 15-min (96 bins, ~24h rolling)",count,dslLine.ses,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl15MinIntervalCRCanomalies,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 15-min (96 bins, ~24h rolling)",count,dslLine.crcanomalies,count,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl15MinIntervalLOSWS,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 15-min (96 bins, ~24h rolling)",count,dslLine.losws,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl15MinIntervalUAS,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 15-min (96 bins, ~24h rolling)",count,dslLine.uas,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr1DayES,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 1-day,count,dslLine.es,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr1DaySES,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 1-day,count,dslLine.ses,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr1DayCRCanomalies,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 1-day,count,dslLine.crcanomalies,count,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr1DayLOSWS,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 1-day,count,dslLine.losws,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2ShdslEndpointCurr1DayUAS,HDSL2-SHDSL-LINE-MIB (RFC 4319),current (partial) 1-day,count,dslLine.uas,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl1DayIntervalES,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 1-day (7 bins, ~1wk rolling)",count,dslLine.es,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
dsl-modem,hdsl2Shdsl1DayIntervalSES,HDSL2-SHDSL-LINE-MIB (RFC 4319),"historical 1-day (7 bins, ~1wk rolling)",count,dslLine.ses,seconds,sum over interval (standards-defined telco PM counter),Historical bins roll off after 24h (15-min) / 7d (1-day) -- Communicator must poll each bin at least once inside that window or the sample is lost. Current-interval object gives the in-progress partial bin for near-real-time dashboards between rollovers.
