MIB Module,Object Name,OID,Kind,Syntax,Access,Description
ACTELIS-ALARM-MIB,alarmNotificationEnable,1.3.6.1.4.1.5468.5.1,scalar,"INTEGER {enabled (1) , disabled (2)}",read-write,"Alarm Notifications can be sent or not, controlled manually, per whole NE system"
ACTELIS-ALARM-MIB,alarmTableRowCount,1.3.6.1.4.1.5468.5.2,scalar,Unsigned32,read-only,"Counter of all fault conditions (Alarmed and Non-Alarmed) currently raised on NE, represents a number of rows in alarm table"
ACTELIS-ALARM-MIB,alarmTableLastEvent,1.3.6.1.4.1.5468.5.3,scalar,DateAndTime,read-only,Timestamp of Latest TL1 alarm raised on NE
ACTELIS-ALARM-MIB,alarmIndex,1.3.6.1.4.1.5468.5.4.1.1,column,Unsigned32(1..4294967295),not-accessible,Index of Alarm. Used for Table running. Not accessible leaf (do not return any value on get).
ACTELIS-ALARM-MIB,alarmTID,1.3.6.1.4.1.5468.5.4.1.2,column,DisplayString,read-only,System Identification (Terminal ID) of NE which is reporting Failure Condition
ACTELIS-ALARM-MIB,alarmName,1.3.6.1.4.1.5468.5.4.1.3,column,DisplayString,read-only,"Failure Condition Name, i.e. LOSW, HSLDWN or INTRUDER"
ACTELIS-ALARM-MIB,alarmedAID,1.3.6.1.4.1.5468.5.4.1.4,column,DisplayString,read-only,"Automatic Identification of TL1 Managed Object with Failure Condition on it, i.e. MLP-3-7, HSL-122 or ETH-5. Together with Name of alarm , AlarmAID pr"
ACTELIS-ALARM-MIB,alarmedOID,1.3.6.1.4.1.5468.5.4.1.5,column,DisplayString,read-only,"Using hardcoded map, all TL1 AID are converted to SNMP Index used for them. System and Equipment entity are reported using iso(1).org(3).dod(6).intern"
ACTELIS-ALARM-MIB,alarmDateTime,1.3.6.1.4.1.5468.5.4.1.6,column,DateAndTime,read-only,Raise Alarm Date and Time on NE
ACTELIS-ALARM-MIB,alarmServiceAffect,1.3.6.1.4.1.5468.5.4.1.7,column,DisplayString,read-only,"Instead of enum coding, use text as reported in TL1 SA for service affecting, NSA for non-service affecting."
ACTELIS-ALARM-MIB,alarmSeverity,1.3.6.1.4.1.5468.5.4.1.8,column,DisplayString,read-only,"Instead of enum coding, use text as reported in TL1 CR for critical, MJ for major, MN for minor, NA for non-alarmed"
ACTELIS-ALARM-MIB,alarmDescription,1.3.6.1.4.1.5468.5.4.1.9,column,DisplayString,read-only,"Text description of Alarm possible reason, as appears in TL1 alarm"
ML620R-MIB,channel,1.3.6.1.4.1.5468.510.1.1.1.1,column,Integer32 (1..4),read-only,Description.
ML620R-MIB,dslService,1.3.6.1.4.1.5468.510.1.1.1.2,column,"INTEGER { rt(0), co(1) }",read-only,Description.
ML620R-MIB,dslStandard,1.3.6.1.4.1.5468.510.1.1.1.3,column,"INTEGER { annexA(0), annexB(1), annexAB(2) }",read-only,Description.
ML620R-MIB,dslAttenuation,1.3.6.1.4.1.5468.510.1.1.1.4,column,Integer32,read-only,This is valid only when the dslStatus value is 'Data'.
ML620R-MIB,dslSNR,1.3.6.1.4.1.5468.510.1.1.1.5,column,Integer32,read-only,This is valid only when the dslStatus value is 'Data'.
ML620R-MIB,dslStatus,1.3.6.1.4.1.5468.510.1.1.1.6,column,"INTEGER { handshaking(0), training(1), idle(2), data(3), notsupport(4) }",read-only,Description.
ML620R-MIB,dslRate,1.3.6.1.4.1.5468.510.1.1.1.7,column,Integer32,read-only,Rate : xx kpbs. This is valid only when the dslStatus value is 'Data'.
ML620R-MIB,macTableIndex,1.3.6.1.4.1.5468.510.1.2.1.1,column,INTEGER (1..8000),read-only,Description.
ML620R-MIB,macType,1.3.6.1.4.1.5468.510.1.2.1.2,column,OCTET STRING,read-only,Description.
ML620R-MIB,blongToVlan,1.3.6.1.4.1.5468.510.1.2.1.3,column,INTEGER (1..4095),read-only,Description.
ML620R-MIB,macAddress,1.3.6.1.4.1.5468.510.1.2.1.4,column,OCTET STRING,read-only,Description.
