MIB Module,Object Name,OID,Kind,Syntax,Access,Description
ACTELIS-SERV-MON-MIB,servMonSystemModel,1.3.6.1.4.1.5468.4.1.1.1,scalar,Models,read-only,"Actelis equipment models in format <card type>-<part number> : unknown (0),sdu440-503R60039(1),sdu440g-503R60040(2),sdu320-503R20068(3), sdu320g-503R20078(4), sdu340g-503R20068(5), ml698-501RG0147(6),ml698-501RG0347(7),ml688-501R00047(8),ml688-501RG0047(9), ml688-501RG0447(10),ml684-501RG0048(11),ml654-501R00066(12),ml654s-501RG0076(13), ml658-501R00057(14), ml658s-501RG0077(15),ml648-501R00037(16),ml648-501RG0037(17),ml644-501R00056(18),ml644-501RG0056 (19), ml638-501R00067(20),ml638-501RG0067("
ACTELIS-SERV-MON-MIB,servMonSystemSWversion,1.3.6.1.4.1.5468.4.1.1.2,scalar,DisplayString,read-only,Actelis NE SW version in format <Major Release>.<Minor Release>-<Part Number of SW>. For example: 7.10-903A00035.
ACTELIS-SERV-MON-MIB,servMonSystemTID,1.3.6.1.4.1.5468.4.1.1.3,scalar,DisplayString,read-only,Actelis NE Unique identification by TID (terminal or system identification) - 20 chars string. Serial Number of the box by factory default. For example: A0842A00F345.
ACTELIS-SERV-MON-MIB,portID,1.3.6.1.4.1.5468.4.1.2.1.1.1,column,InterfaceIndex,read-only,"An unique value for port interface reported. It can be ETH-x, COLAN or HSL-x ports, specified using ifIndex. All administratively enabled ports are reported, regardless their operational status. Not-enabled admisnitratively ports are skipped. IfIndex is always reported in acsending order but may be not consequent."
ACTELIS-SERV-MON-MIB,portEgressBW,1.3.6.1.4.1.5468.4.1.2.1.1.2,column,Integer32,read-only,Parameter shows Kbps of traffic egresses from Port (TX direction). Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). If port is operationally down (and data is unavailable) -1 is reported.
ACTELIS-SERV-MON-MIB,portIngressBW,1.3.6.1.4.1.5468.4.1.2.1.1.3,column,Integer32,read-only,Parameter shows Kbps of traffic intgressing to Port (RX direction). Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). If port is operationally down (and data is unavailable) -1 is reported.
ACTELIS-SERV-MON-MIB,portEgressRateLimit,1.3.6.1.4.1.5468.4.1.2.1.1.4,column,Integer32,read-only,Parameter shows in Kbps Egress Rate Limit specified on Port (limiting ifSpeed in Transmission direction). Special value of 0 means NO LIMIT (port may perfirm in TX on IfSpeed).
ACTELIS-SERV-MON-MIB,portIngressRateLimit,1.3.6.1.4.1.5468.4.1.2.1.1.5,column,Integer32,read-only,Parameter shows in Kbps Ingress Rate Limit specified on Port (limiting ifSpeed in Receieve direction). Special value of 0 means NO LIMIT (port may perform in RX on IfSpeed).
ACTELIS-SERV-MON-MIB,portEgressUtilization,1.3.6.1.4.1.5468.4.1.2.1.1.6,column,,read-only,"Parameter shows % of port utilization, calculated as PortEgressBW divided to min (ifSpeed or portEgressRateLimit applied). Reported in units of 1 = 0.001% , i.e. 5985 means 5.985% of port throughput capability is utilized."
ACTELIS-SERV-MON-MIB,portIngressUtilization,1.3.6.1.4.1.5468.4.1.2.1.1.7,column,,read-only,"Parameter shows % of port utilization, calculated as PortIngressBW divided to min (ifSpeed or portIngressRateLimit applied). Reported in units of 1 = 0.001%, i.e. 5985 means 5.985% of port throughput capability is utilized."
ACTELIS-SERV-MON-MIB,evcIndex,1.3.6.1.4.1.5468.4.1.3.1.1.1,column,,not-accessible,Index of EVC. Used for Table running. Not accessible leaf (do not return any value on get).
ACTELIS-SERV-MON-MIB,evcID,1.3.6.1.4.1.5468.4.1.3.1.1.2,column,,read-only,"This index uniquely (per NE) identifies MEF10 resource used on ML NE for Ethernet Virtual Connection control. On ML products EVC is a logical name only, the rest of functionality is bonded with SERV-AID. Basic ML600 supports 0 EVC (SERV). ML640, ML650 models support up to 8 EVC/SERV-{1-8}. ML640E models support up to 32 EVC/SERV-{1-32}. SDU-400 supports 2048 EVC/SERV-{1-2048}."
ACTELIS-SERV-MON-MIB,egressPassedBW,1.3.6.1.4.1.5468.4.1.3.1.1.3,column,Integer32,read-only,CIR (green) and EIR (yellow) traffic passed to EVC/SERV egress (TX direction). Measured and reported in Kbps units. Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). Unsupported on ML640E (reported as 0).
ACTELIS-SERV-MON-MIB,inBWPolicyDiscardedBW,1.3.6.1.4.1.5468.4.1.3.1.1.4,column,Integer32,read-only,CIR (green) and EIR (yellow) traffic not passed to EVC egress (TX direction). It was dropped due to overbooking of services on the port or due to reduction of available BW on the HSL port. Measured in Kbps. Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). Unsupported on ML640E (reported as 0).
ACTELIS-SERV-MON-MIB,outBWPolicyDiscardedBW,1.3.6.1.4.1.5468.4.1.3.1.1.5,column,Integer32,read-only,Red traffic (above CIR+EIR) dropped. It was intentionally discarded by EVC meter/policer as arrived more then allowed by CIR+EIR for this EVC. Measured in Kbps. Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each).
ACTELIS-SERV-MON-MIB,cirRXAverageBW,1.3.6.1.4.1.5468.4.1.3.1.1.6,column,Integer32,read-only,"CIR (green) traffic arrived , average BW. Measured in Kbps. Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). Counter available on ML640E models only"
ACTELIS-SERV-MON-MIB,cirTXAverageBW,1.3.6.1.4.1.5468.4.1.3.1.1.7,column,Integer32,read-only,"CIR (green) traffic transmitted , average BW. Measured in Kbps. Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). Counter available on ML640E models only"
ACTELIS-SERV-MON-MIB,eirRXAverageBW,1.3.6.1.4.1.5468.4.1.3.1.1.8,column,Integer32,read-only,"EIR (yellow) traffic arrived , average BW. Measured in Kbps. Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). Counter available on ML640E models only"
ACTELIS-SERV-MON-MIB,eirTXAverageBW,1.3.6.1.4.1.5468.4.1.3.1.1.9,column,Integer32,read-only,"EIR (yellow) traffic transmitted , average BW. Measured in Kbps. Calculated as average BW in last 30 sec (using 6 samples with 5sec averaged each). Counter available on ML640E models only"
ACTELIS-SERV-MON-MIB,evcDescr,1.3.6.1.4.1.5468.4.1.3.1.1.10,column,DisplayString,read-only,"Evc Service Description, as configured via TL1, 32 chars length. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,evcConfBWProfileID,1.3.6.1.4.1.5468.4.1.3.1.1.11,column,Unsigned32,read-only,BW Profile Index(as configured in TL1)attached to the EVC Service. ML models with SW below R8.00 do not support this leaf.
ACTELIS-SERV-MON-MIB,evcConfBWProfileDescr,1.3.6.1.4.1.5468.4.1.3.1.1.12,column,DisplayString,read-only,BW Profile Description (as configured in TL1)attached to the EVC Service. ML models with SW below R8.00 do not support this leaf.
ACTELIS-SERV-MON-MIB,evcConfBWProfileCIR,1.3.6.1.4.1.5468.4.1.3.1.1.13,column,Integer32,read-only,"BW Profile CIR (as configured in TL1)attached to the EVC Service, in Kbps units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,evcConfBWProfileCBS,1.3.6.1.4.1.5468.4.1.3.1.1.14,column,Integer32,read-only,"BW Profile CBS (as configured in TL1)attached to the EVC Service, in BYTES units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,evcConfBWProfileEIR,1.3.6.1.4.1.5468.4.1.3.1.1.15,column,Integer32,read-only,"BW Profile EIR (as configured in TL1)attached to the EVC Service, in Kbps units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,evcConfBWProfileEBS,1.3.6.1.4.1.5468.4.1.3.1.1.16,column,Integer32,read-only,"BW Profile EBS (as configured in TL1)attached to the EVC Service, in BYTES units. Value of 999,999 is reported for UNLIMITED parameter. ML models with SW below R8.00 do not support this leaf."
ACTELIS-SERV-MON-MIB,flFlrELine1DayMEPID,1.3.6.1.4.1.5468.4.1.4.1.1.1,column,Dot1agCfmMepId,read-only,This parameter uniquely identifies the MEP in it's MEG.
