MIB Module,Object Name,OID,Kind,Syntax,Access,Description
ML540M-SYSTEM-MIB,productModel,1.3.6.1.4.1.5468.100.1.1.1,scalar,OCTET STRING ( SIZE ( 0 .. 25 ) ),read-only,Product Model name.
ML540M-SYSTEM-MIB,swVersion,1.3.6.1.4.1.5468.100.1.1.2,scalar,OCTET STRING ( SIZE ( 0 .. 20 ) ),read-only,System SW version
ML540M-SYSTEM-MIB,swBuildNo,1.3.6.1.4.1.5468.100.1.1.3,scalar,OCTET STRING ( SIZE ( 0 .. 30 ) ),read-only,System SW version built date
ML540M-SYSTEM-MIB,sysMAC,1.3.6.1.4.1.5468.100.1.1.4,scalar,PhysAddress,read-only,
ML540M-SYSTEM-MIB,portCount,1.3.6.1.4.1.5468.100.1.1.5,scalar,Integer32,read-only,
ML540M-SYSTEM-MIB,eventSeqId,1.3.6.1.4.1.5468.100.1.2.1.1.1.1,column,Integer32 ( 1 .. 65535 ),not-accessible,This object is used by the event table to identify the row of this table.
ML540M-SYSTEM-MIB,eventLevel,1.3.6.1.4.1.5468.100.1.2.1.1.1.2,column,VTSSEventLevel,read-only,This object indicates the level of event.
ML540M-SYSTEM-MIB,eventTime,1.3.6.1.4.1.5468.100.1.2.1.1.1.3,column,OCTET STRING ( SIZE ( 32 ) ),read-only,This attribute indicates the event occurence time.
ML540M-SYSTEM-MIB,eventMessage,1.3.6.1.4.1.5468.100.1.2.1.1.1.4,column,OCTET STRING ( SIZE ( 40 ) ),read-only,This attribute indicates the event message.
ML540M-SYSTEM-MIB,currentAlarmRowId,1.3.6.1.4.1.5468.100.1.2.2.1.1.1,column,Unsigned32 ( 1 .. 65535 ),read-only,This object indicates the row index in table.
ML540M-SYSTEM-MIB,currentAlarmSeqId,1.3.6.1.4.1.5468.100.1.2.2.1.1.2,column,Unsigned32 ( 1 .. 65535 ),read-only,"This object indicates the sequence index in table, when new alarm generated, index increases."
ML540M-SYSTEM-MIB,currentAlarmTypeId,1.3.6.1.4.1.5468.100.1.2.2.1.1.3,column,VTSSAlarmType,read-only,This attribute indicates the number of alarm type.
