MIB Module,Object Name,OID,Kind,Syntax,Access,Description
ML540M-QOS-MIB,ml540mQosCapabilitiesClassMin,1.3.6.1.4.1.5468.100.14.1.1.1,scalar,Unsigned32,read-only,Minimum allowed QoS class.
ML540M-QOS-MIB,ml540mQosCapabilitiesClassMax,1.3.6.1.4.1.5468.100.14.1.1.2,scalar,Unsigned32,read-only,Maximum allowed QoS class.
ML540M-QOS-MIB,ml540mQosCapabilitiesDplMin,1.3.6.1.4.1.5468.100.14.1.1.3,scalar,VTSSUnsigned8,read-only,Minimum allowed drop precedence level.
ML540M-QOS-MIB,ml540mQosCapabilitiesDplMax,1.3.6.1.4.1.5468.100.14.1.1.4,scalar,VTSSUnsigned8,read-only,Maximum allowed drop precedence level.
ML540M-QOS-MIB,ml540mQosCapabilitiesWredGroupMin,1.3.6.1.4.1.5468.100.14.1.1.5,scalar,Unsigned32,read-only,Minimum allowed WRED group number.
ML540M-QOS-MIB,ml540mQosCapabilitiesWredGroupMax,1.3.6.1.4.1.5468.100.14.1.1.6,scalar,Unsigned32,read-only,Maximum allowed WRED group number.
ML540M-QOS-MIB,ml540mQosCapabilitiesWredDplMin,1.3.6.1.4.1.5468.100.14.1.1.7,scalar,VTSSUnsigned8,read-only,Minimum allowed WRED drop precedence level.
ML540M-QOS-MIB,ml540mQosCapabilitiesWredDplMax,1.3.6.1.4.1.5468.100.14.1.1.8,scalar,VTSSUnsigned8,read-only,Maximum allowed WRED drop precedence level.
ML540M-QOS-MIB,ml540mQosCapabilitiesQceIdMin,1.3.6.1.4.1.5468.100.14.1.1.9,scalar,Unsigned32,read-only,Minimum allowed QCE Id.
ML540M-QOS-MIB,ml540mQosCapabilitiesQceIdMax,1.3.6.1.4.1.5468.100.14.1.1.10,scalar,Unsigned32,read-only,Maximum allowed QCE Id.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerBitRateMin,1.3.6.1.4.1.5468.100.14.1.1.11,scalar,Unsigned32,read-only,Minimum supported bit rate in kbps for port policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerBitRateMax,1.3.6.1.4.1.5468.100.14.1.1.12,scalar,Unsigned32,read-only,"Maximum supported bit rate in kbps for port policers using bit rate mode. If zero, the port policers does not support bit rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerBitBurstMin,1.3.6.1.4.1.5468.100.14.1.1.13,scalar,Unsigned32,read-only,Minimum supported burst size in bytes for port policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerBitBurstMax,1.3.6.1.4.1.5468.100.14.1.1.14,scalar,Unsigned32,read-only,Maximum supported burst size in bytes for port policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerFrameRateMin,1.3.6.1.4.1.5468.100.14.1.1.15,scalar,Unsigned32,read-only,Minimum supported frame rate in fps for port policers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerFrameRateMax,1.3.6.1.4.1.5468.100.14.1.1.16,scalar,Unsigned32,read-only,"Maximum supported frame rate in fps for port policers using frame rate mode. If zero, the port policers does not support frame rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerFrameBurstMin,1.3.6.1.4.1.5468.100.14.1.1.17,scalar,Unsigned32,read-only,Minimum supported burst size in frames for port policers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortPolicerFrameBurstMax,1.3.6.1.4.1.5468.100.14.1.1.18,scalar,Unsigned32,read-only,Maximum supported burst size in frames for port policers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerBitRateMin,1.3.6.1.4.1.5468.100.14.1.1.19,scalar,Unsigned32,read-only,Minimum supported bit rate in kbps for queue policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerBitRateMax,1.3.6.1.4.1.5468.100.14.1.1.20,scalar,Unsigned32,read-only,"Maximum supported bit rate in kbps for queue policers using bit rate mode. If zero, the queue policers does not support bit rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerBitBurstMin,1.3.6.1.4.1.5468.100.14.1.1.21,scalar,Unsigned32,read-only,Minimum supported burst size in bytes for queue policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerBitBurstMax,1.3.6.1.4.1.5468.100.14.1.1.22,scalar,Unsigned32,read-only,Maximum supported burst size in bytes for queue policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerFrameRateMin,1.3.6.1.4.1.5468.100.14.1.1.23,scalar,Unsigned32,read-only,Minimum supported frame rate in fps for queue policers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerFrameRateMax,1.3.6.1.4.1.5468.100.14.1.1.24,scalar,Unsigned32,read-only,"Maximum supported frame rate in fps for queue policers using frame rate mode. If zero, the port policers does not support frame rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerFrameBurstMin,1.3.6.1.4.1.5468.100.14.1.1.25,scalar,Unsigned32,read-only,Minimum supported burst size in frames for queue policers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueuePolicerFrameBurstMax,1.3.6.1.4.1.5468.100.14.1.1.26,scalar,Unsigned32,read-only,Maximum supported burst size in frames for queue policers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperBitRateMin,1.3.6.1.4.1.5468.100.14.1.1.27,scalar,Unsigned32,read-only,Minimum supported bit rate in kbps for port shapers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperBitRateMax,1.3.6.1.4.1.5468.100.14.1.1.28,scalar,Unsigned32,read-only,"Maximum supported bit rate in kbps for port shapers using bit rate mode. If zero, the port shapers does not support bit rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperBitBurstMin,1.3.6.1.4.1.5468.100.14.1.1.29,scalar,Unsigned32,read-only,Minimum supported burst size in bytes for port shapers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperBitBurstMax,1.3.6.1.4.1.5468.100.14.1.1.30,scalar,Unsigned32,read-only,Maximum supported burst size in bytes for port shapers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperFrameRateMin,1.3.6.1.4.1.5468.100.14.1.1.31,scalar,Unsigned32,read-only,Minimum supported frame rate in fps for port shapers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperFrameRateMax,1.3.6.1.4.1.5468.100.14.1.1.32,scalar,Unsigned32,read-only,"Maximum supported frame rate in fps for port shapers using frame rate mode. If zero, the port shapers does not support frame rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperFrameBurstMin,1.3.6.1.4.1.5468.100.14.1.1.33,scalar,Unsigned32,read-only,Minimum supported burst size in frames for port shapers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesPortShaperFrameBurstMax,1.3.6.1.4.1.5468.100.14.1.1.34,scalar,Unsigned32,read-only,Maximum supported burst size in frames for port shapers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperBitRateMin,1.3.6.1.4.1.5468.100.14.1.1.35,scalar,Unsigned32,read-only,Minimum supported bit rate in kbps for queue shapers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperBitRateMax,1.3.6.1.4.1.5468.100.14.1.1.36,scalar,Unsigned32,read-only,"Maximum supported bit rate in kbps for queue shapers using bit rate mode. If zero, the queue shapers does not support bit rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperBitBurstMin,1.3.6.1.4.1.5468.100.14.1.1.37,scalar,Unsigned32,read-only,Minimum supported burst size in bytes for queue shapers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperBitBurstMax,1.3.6.1.4.1.5468.100.14.1.1.38,scalar,Unsigned32,read-only,Maximum supported burst size in bytes for queue shapers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperFrameRateMin,1.3.6.1.4.1.5468.100.14.1.1.39,scalar,Unsigned32,read-only,Minimum supported frame rate in fps for queue shapers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperFrameRateMax,1.3.6.1.4.1.5468.100.14.1.1.40,scalar,Unsigned32,read-only,"Maximum supported frame rate in fps for queue shapers using frame rate mode. If zero, the port shapers does not support frame rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperFrameBurstMin,1.3.6.1.4.1.5468.100.14.1.1.41,scalar,Unsigned32,read-only,Minimum supported burst size in frames for queue shapers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesQueueShaperFrameBurstMax,1.3.6.1.4.1.5468.100.14.1.1.42,scalar,Unsigned32,read-only,Maximum supported burst size in frames for queue shapers using frame rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesGlobalStormBitRateMin,1.3.6.1.4.1.5468.100.14.1.1.43,scalar,Unsigned32,read-only,Minimum supported bit rate in kbps for global storm policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesGlobalStormBitRateMax,1.3.6.1.4.1.5468.100.14.1.1.44,scalar,Unsigned32,read-only,"Maximum supported bit rate in kbps for global storm policers using bit rate mode. If zero, the global storm policers does not support bit rate mode."
ML540M-QOS-MIB,ml540mQosCapabilitiesGlobalStormBitBurstMin,1.3.6.1.4.1.5468.100.14.1.1.45,scalar,Unsigned32,read-only,Minimum supported burst size in bytes for global storm policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesGlobalStormBitBurstMax,1.3.6.1.4.1.5468.100.14.1.1.46,scalar,Unsigned32,read-only,Maximum supported burst size in bytes for global storm policers using bit rate mode.
ML540M-QOS-MIB,ml540mQosCapabilitiesGlobalStormFrameRateMin,1.3.6.1.4.1.5468.100.14.1.1.47,scalar,Unsigned32,read-only,Minimum supported frame rate in fps for global storm policers using frame rate mode.
